category_group,distance_band_m,object_count,lidar_mean,lidar_median,lidar_p10,zero_point_share
other,0-20,495,91.15757575757576,13.0,0.0,0.10505050505050505
other,20-40,482,6.219917012448133,3.0,0.0,0.16804979253112035
other,40-60,187,2.978609625668449,1.0,0.0,0.21390374331550802
other,60+,36,1.8888888888888888,1.0,0.0,0.4166666666666667
static,0-20,15272,58.807490832896804,12.0,1.0,0.06737820848611839
static,20-40,12357,4.020717002508699,2.0,0.0,0.234846645625961
static,40-60,4273,1.6550432951088228,1.0,0.0,0.37655043295108825
static,60+,840,0.9107142857142857,0.0,0.0,0.5523809523809524
vehicle,0-20,8235,449.90346083788705,138.0,21.0,0.013600485731633272
vehicle,20-40,16195,22.95196048163013,9.0,0.0,0.11670268601420192
vehicle,40-60,11716,5.582365995220211,2.0,0.0,0.2810686241037897
vehicle,60+,6660,2.845195195195195,1.0,0.0,0.3202702702702703
vru,0-20,9668,34.98489863467108,13.0,2.0,0.06433595366156392
vru,20-40,13369,3.09035829157005,3.0,0.0,0.15348941581270104
vru,40-60,5627,1.2029500622001066,1.0,0.0,0.2569752976719389
vru,60+,1794,0.6627647714604237,1.0,0.0,0.4124860646599777
