scene_name,scene_description,sample_token,timestamp,annotation_count,official_detection_class_count,official_eval_eligible_count,official_eval_eligible_prop,vru_count,vehicle_count,static_count,other_count,weighted_complexity,count_score,visibility_mean_score,visibility_max_score,visibility_token_1_prop,visibility_token_2_prop,visibility_token_3_prop,visibility_token_4_prop,lidar_sparsity_mean_score,lidar_sparsity_max_score,lidar_points_median,lidar_points_p10,lidar_zero_point_prop,official_zero_sensor_point_prop,distance_ego_mean_m,distance_ego_median_m,distance_over_40m_prop,truncation_mean_ratio,truncation_max_ratio,truncation_mean_score,truncation_max_score,score_version,perception_difficulty_score
scene-0064,"Parking lots, oncoming special electrical vehicle",5c15c019742a4c4197a45081e90fbce4,1533153296197216,62,62,36,0.5806451612903226,0,60,2,0,61.0,10.0,8.03225806451613,10.0,0.7258064516129032,0.0967741935483871,0.03225806451612903,0.14516129032258066,7.935483870967742,10.0,1.0,0.0,0.3709677419354839,0.3064516129032258,34.54035791487235,33.64027448052998,0.3225806451612903,0.022582377393298863,0.6318357751818386,0.41935483870967744,10.0,presentation_legacy_v0,80.55299539170507
scene-0064,"Parking lots, oncoming special electrical vehicle",1e96cd8b79134cb5ae0e0f62943b5c00,1533153305197733,66,66,44,0.6666666666666666,0,66,0,0,66.0,10.0,8.196969696969697,10.0,0.7424242424242424,0.09090909090909091,0.045454545454545456,0.12121212121212122,7.651515151515151,10.0,4.0,0.0,0.19696969696969696,0.18181818181818182,35.88815101394457,33.76378299166612,0.3181818181818182,0.022936551459059883,0.5787431140492164,0.4090909090909091,10.0,presentation_legacy_v0,80.36796536796535
scene-0018,"Merge left, turn into unloading zone",73ac66237c854ee69fc29e9b24860e41,1531885802398335,77,77,37,0.4805194805194805,29,15,33,0,89.5,10.0,7.077922077922078,10.0,0.6493506493506493,0.07792207792207792,0.012987012987012988,0.2597402597402597,8.506493506493506,10.0,1.0,0.0,0.4155844155844156,0.4155844155844156,25.986078567657362,21.320586418018703,0.18181818181818182,0.04306855770582845,1.0,0.5584415584415584,10.0,presentation_legacy_v0,80.20408163265304
scene-0092,"Drive through passage, peds walking alongside lane",e6c7e16f831d4807befccae91f7df830,1533151076397743,50,47,12,0.24,5,9,33,3,37.0,10.0,7.02,10.0,0.66,0.06,0.0,0.28,8.82,10.0,0.5,0.0,0.5,0.48,35.96011778122748,32.483863209602305,0.36,0.022102624512659583,0.8218886314089638,0.26,10.0,presentation_legacy_v0,80.14285714285714
scene-0018,"Merge left, turn into unloading zone",b173607014c44dfd86cfee252561315f,1531885803947744,70,70,38,0.5428571428571428,29,15,26,0,86.0,10.0,6.771428571428571,10.0,0.6285714285714286,0.05714285714285714,0.02857142857142857,0.2857142857142857,8.771428571428572,10.0,1.0,0.0,0.44285714285714284,0.4142857142857143,25.340242449734344,25.007888739311767,0.11428571428571428,0.03519133487126693,1.0,0.42857142857142855,10.0,presentation_legacy_v0,79.9591836734694
scene-0064,"Parking lots, oncoming special electrical vehicle",eb4f3452518141a688b3243baa2f2f5f,1533153304647542,65,65,41,0.6307692307692307,0,65,0,0,65.0,10.0,7.815384615384615,10.0,0.7076923076923077,0.09230769230769231,0.03076923076923077,0.16923076923076924,7.661538461538462,10.0,3.0,0.0,0.27692307692307694,0.23076923076923078,34.255697205753805,32.859307822549155,0.26153846153846155,0.02602128640292327,0.5008221956768919,0.4461538461538462,10.0,presentation_legacy_v0,79.8901098901099
scene-0004,"Random scene, arrive at intersection, cross intersection, jaywalkers",876b6b9b6d1e498b9cd5d7f2513431dd,1531883998398055,108,104,57,0.5277777777777778,19,7,78,4,86.0,10.0,7.083333333333333,10.0,0.5925925925925926,0.12962962962962962,0.08333333333333333,0.19444444444444445,7.7592592592592595,10.0,3.0,0.0,0.26851851851851855,0.25925925925925924,30.866999645913207,33.572931910259875,0.4537037037037037,0.06832683727709808,0.9875446721126816,0.8611111111111112,10.0,presentation_legacy_v0,79.57671957671958
scene-0004,"Random scene, arrive at intersection, cross intersection, jaywalkers",921f0a18faa347819d5696a600ae54b2,1531883997898176,113,108,54,0.4778761061946903,19,7,82,5,88.5,10.0,6.920353982300885,10.0,0.5752212389380531,0.13274336283185842,0.07964601769911504,0.21238938053097345,8.026548672566372,10.0,2.0,0.0,0.3185840707964602,0.30973451327433627,30.72718634567474,32.10448349085449,0.3805309734513274,0.06132026183671138,1.0,0.7345132743362832,10.0,presentation_legacy_v0,79.54487989886219
scene-0004,"Random scene, arrive at intersection, cross intersection, jaywalkers",b9a86512fa73430b9bae8549b1a211b7,1531883998898519,100,96,54,0.54,19,7,70,4,82.0,10.0,6.98,10.0,0.6,0.11,0.07,0.22,7.44,10.0,2.5,0.0,0.26,0.25,32.08577340589693,37.001000737784295,0.44,0.08574511329642637,0.987674187031956,1.16,10.0,presentation_legacy_v0,79.39999999999999
scene-0018,"Merge left, turn into unloading zone",9fbcde13d96b43a8aee0f76aee3bfc65,1531885802948542,72,72,43,0.5972222222222222,29,13,30,0,86.0,10.0,6.569444444444445,10.0,0.6111111111111112,0.041666666666666664,0.05555555555555555,0.2916666666666667,8.583333333333334,10.0,2.0,0.0,0.3611111111111111,0.2916666666666667,25.00340589473793,21.862894347277205,0.1527777777777778,0.036347443449983946,1.0,0.4166666666666667,10.0,presentation_legacy_v0,79.38492063492063
scene-0018,"Merge left, turn into unloading zone",56b2752879d247359f620173a94838c3,1531885805948885,74,74,35,0.47297297297297297,26,15,33,0,83.5,10.0,6.445945945945946,10.0,0.6216216216216216,0.02702702702702703,0.013513513513513514,0.33783783783783783,8.905405405405405,10.0,0.0,0.0,0.527027027027027,0.527027027027027,26.15518881405745,26.955514823750462,0.08108108108108109,0.01567087542607295,0.7785993932816506,0.21621621621621623,10.0,presentation_legacy_v0,79.38223938223938
scene-0092,"Drive through passage, peds walking alongside lane",971fe52375054e499551b963e85e1fcf,1533151076897615,55,52,20,0.36363636363636365,5,8,39,3,39.0,10.0,6.872727272727273,10.0,0.6363636363636364,0.07272727272727272,0.0,0.2909090909090909,8.345454545454546,10.0,1.0,0.0,0.41818181818181815,0.41818181818181815,31.90603780490487,28.638627142862294,0.2909090909090909,0.020920978114533667,0.6423462467251584,0.2909090909090909,10.0,presentation_legacy_v0,79.2987012987013
scene-0018,"Merge left, turn into unloading zone",b1c6966bd3a547ed82273d837490e63a,1531885803447844,72,72,44,0.6111111111111112,29,14,29,0,86.5,10.0,6.263888888888889,10.0,0.5972222222222222,0.0,0.09722222222222222,0.3055555555555556,8.86111111111111,10.0,2.0,0.0,0.3888888888888889,0.3055555555555556,25.394061205124874,23.513151386307744,0.1527777777777778,0.03368493196702605,1.0,0.375,10.0,presentation_legacy_v0,79.28571428571429
scene-0064,"Parking lots, oncoming special electrical vehicle",bd074621e1ec42e29f7ce05d9d856b9f,1533153296697088,62,62,37,0.5967741935483871,0,60,2,0,61.0,10.0,7.435483870967742,10.0,0.6612903225806451,0.0967741935483871,0.04838709677419355,0.1935483870967742,7.483870967741935,10.0,3.0,0.0,0.3387096774193548,0.3225806451612903,32.71023595724939,32.08103015616505,0.25806451612903225,0.028669932085929283,0.5587906117307213,0.4838709677419355,10.0,presentation_legacy_v0,79.14746543778803
scene-0004,"Random scene, arrive at intersection, cross intersection, jaywalkers",015a6df7ed1846f9983d0a40005f2d8b,1531884000798465,81,80,43,0.5308641975308642,18,5,57,1,70.0,10.0,6.62962962962963,10.0,0.5308641975308642,0.13580246913580246,0.12345679012345678,0.20987654320987653,8.061728395061728,10.0,3.0,0.0,0.18518518518518517,0.18518518518518517,36.77608048871209,26.040726627667716,0.3950617283950617,0.056601503948605573,0.9642298927904837,0.7037037037037037,10.0,presentation_legacy_v0,79.1358024691358
scene-0018,"Merge left, turn into unloading zone",3c23cd7c54034c298278d81d0b3d3954,1531885804447640,71,71,37,0.5211267605633803,28,15,28,0,85.0,10.0,6.197183098591549,10.0,0.5774647887323944,0.04225352112676056,0.04225352112676056,0.3380281690140845,8.788732394366198,10.0,1.0,0.0,0.4647887323943662,0.4084507042253521,26.19706620377908,25.440543804911314,0.1267605633802817,0.03328314969328073,1.0,0.38028169014084506,10.0,presentation_legacy_v0,79.09456740442656
scene-0004,"Random scene, arrive at intersection, cross intersection, jaywalkers",d8e4b034554d4fd4b6d50a2f3dfa001f,1531883997398295,122,117,49,0.4016393442622951,19,7,91,5,93.0,10.0,6.663934426229508,10.0,0.5901639344262295,0.07377049180327869,0.08196721311475409,0.2540983606557377,8.221311475409836,10.0,1.0,0.0,0.29508196721311475,0.28688524590163933,31.247912187658763,33.173239862132256,0.36065573770491804,0.03280441390326815,0.934680419670606,0.4344262295081967,10.0,presentation_legacy_v0,79.02810304449649
