scene_name,scene_description,timestamp_mean,timestamp_max,annotation_count_mean,annotation_count_max,official_detection_class_count_mean,official_detection_class_count_max,official_eval_eligible_count_mean,official_eval_eligible_count_max,official_eval_eligible_prop_mean,official_eval_eligible_prop_max,vru_count_mean,vru_count_max,vehicle_count_mean,vehicle_count_max,static_count_mean,static_count_max,other_count_mean,other_count_max,weighted_complexity_mean,weighted_complexity_max,count_score_mean,count_score_max,visibility_mean_score_mean,visibility_mean_score_max,visibility_max_score_mean,visibility_max_score_max,visibility_token_1_prop_mean,visibility_token_1_prop_max,visibility_token_2_prop_mean,visibility_token_2_prop_max,visibility_token_3_prop_mean,visibility_token_3_prop_max,visibility_token_4_prop_mean,visibility_token_4_prop_max,lidar_sparsity_mean_score_mean,lidar_sparsity_mean_score_max,lidar_sparsity_max_score_mean,lidar_sparsity_max_score_max,lidar_points_median_mean,lidar_points_median_max,lidar_points_p10_mean,lidar_points_p10_max,lidar_zero_point_prop_mean,lidar_zero_point_prop_max,official_zero_sensor_point_prop_mean,official_zero_sensor_point_prop_max,distance_ego_mean_m_mean,distance_ego_mean_m_max,distance_ego_median_m_mean,distance_ego_median_m_max,distance_over_40m_prop_mean,distance_over_40m_prop_max,truncation_mean_ratio_mean,truncation_mean_ratio_max,truncation_max_ratio_mean,truncation_max_ratio_max,truncation_mean_score_mean,truncation_mean_score_max,truncation_max_score_mean,truncation_max_score_max,perception_difficulty_score_mean,perception_difficulty_score_max
scene-0018,"Merge left, turn into unloading zone",1531885801750177.5,1531885811448103,83.175,117,83.175,117,50.025,77,0.6021677907236115,0.9615384615384616,30.65,46,17.1,22,35.425,54,0.0,0,96.1125,136.5,10.0,10.0,5.580229774497875,7.077922077922078,10.0,10.0,0.4980473194715816,0.6493506493506493,0.06167823716329335,0.11538461538461539,0.05600297321300203,0.15,0.38427147015212304,0.6063829787234043,7.7948723615935664,9.246575342465754,10.0,10.0,2.7375,6.0,0.0975,2.0,0.2927684164098273,0.5733333333333334,0.2792790247106117,0.5733333333333334,25.137848540326026,27.918723033651712,22.68907102671307,28.97567943288236,0.14620093595203862,0.23958333333333334,0.01997123631771575,0.04960532905525424,0.5862911959767972,1.0,0.30114374915516995,0.6979166666666666,7.8,10.0,73.53749412178088,80.20408163265304
scene-0004,"Random scene, arrive at intersection, cross intersection, jaywalkers",1531883995656399.5,1531884005398527,88.975,131,86.275,126,46.2,73,0.525482042353792,0.75,15.5,21,8.6,15,62.175,94,2.7,5,72.0375,103.0,10.0,10.0,5.220393487295699,7.083333333333333,10.0,10.0,0.4366893383925527,0.6,0.07938462498718285,0.15714285714285714,0.099269242819964,0.1724137931034483,0.38465679380030043,0.6666666666666666,7.80698044527675,8.841269841269842,10.0,10.0,3.0125,9.0,0.0925,1.7000000000000002,0.22639738765245024,0.328,0.21491396030648263,0.328,30.862891875813744,41.89245607438435,28.192354255362325,37.001000737784295,0.26583553577762786,0.4537037037037037,0.030937413530549535,0.08858626926725721,0.6071566324451234,1.0,0.4273403247016524,1.16,7.775,10.0,73.18530608182014,79.57671957671958
scene-0064,"Parking lots, oncoming special electrical vehicle",1533153301942657.5,1533153311697784,59.95,74,59.95,74,41.6,63,0.6902693562631633,0.8513513513513513,0.0,0,58.0,70,1.95,6,0.0,0,58.975,72.0,10.0,10.0,7.084827577062688,8.196969696969697,10.0,10.0,0.6248678487008542,0.7704918032786885,0.08676199287611977,0.16666666666666666,0.07627171330710307,0.23684210526315788,0.212098445115923,0.35,7.741459014117659,8.875,10.0,10.0,3.2375,8.0,0.075,1.0,0.23363324865689475,0.4,0.18825748587635743,0.3225806451612903,35.12723727567656,42.72161188574075,34.14035350863127,43.60785769830113,0.3278390497485685,0.6037735849056604,0.015560935752351679,0.03735739286726349,0.3726910904092243,1.0,0.2760175255922781,0.6142857142857143,6.025,10.0,73.03900588110375,80.55299539170507
scene-0003,"Parking lot, barrier, exit parking lot",1533201480185206.2,1533201489698913,44.475,51,44.475,51,29.225,37,0.6610177080078998,0.8648648648648649,12.85,17,24.0,28,7.625,10,0.0,0,53.5125,62.0,10.0,10.0,4.960948873521671,5.978260869565218,10.0,10.0,0.39872325100768496,0.5,0.11036357511651866,0.16666666666666666,0.06705711254306387,0.15217391304347827,0.42385606133273257,0.56,8.090602399089782,8.823529411764707,10.0,10.0,2.225,5.0,0.14250000000000002,1.0,0.2418541729023181,0.40816326530612246,0.21870476219416002,0.391304347826087,32.23876737346681,37.7641720168628,32.28887307514739,38.17476066066038,0.34488984224182634,0.48936170212765956,0.026437440737733648,0.11432548164476102,0.5261038654224287,1.0,0.3870183425315927,1.5,7.3,10.0,72.48367087877578,78.35403726708074
scene-0045,"Full parking lot, peds, exiting from car park",1532402011745197.2,1532402021197896,48.41025641025641,72,48.41025641025641,72,36.64102564102564,65,0.7199638598723745,0.9393939393939394,13.256410256410257,19,33.743589743589745,52,1.4102564102564104,5,0.0,0,60.96153846153846,88.5,10.0,10.0,5.35952173705374,6.436619718309859,10.0,10.0,0.3419395929983089,0.5,0.2312952839913977,0.35,0.10701960637695568,0.2608695652173913,0.31974551663333767,0.425,7.227581628958021,8.38888888888889,10.0,10.0,4.884615384615385,13.0,0.3666666666666667,2.0,0.14413582869156505,0.3448275862068966,0.10673268227298166,0.3448275862068966,32.7383523824203,41.54153285105333,32.294284164646406,47.78853410206428,0.32603176544655504,0.6206896551724138,0.035429330046212286,0.10550854617855657,0.5371602593376588,0.9540823172017608,0.5716268795739298,1.5857142857142856,7.384615384615385,10.0,72.20477947171582,77.42857142857143
scene-0095,"Wait at intersection, peds occluded, start driving",1533151259187641.8,1533151268696881,26.94871794871795,31,26.94871794871795,31,17.41025641025641,20,0.6473644804761008,0.75,6.205128205128205,7,20.743589743589745,24,0.0,0,0.0,0,33.15384615384615,38.0,10.0,10.0,3.5622878724937435,4.391304347826087,10.0,10.0,0.27730191810931837,0.36,0.09627567761831896,0.27586206896551724,0.038446316024109015,0.1,0.5879760882482536,0.7333333333333333,6.172893123865801,7.0,10.0,10.0,9.782051282051283,19.5,0.494871794871795,2.0,0.12010796348947994,0.25925925925925924,0.11051213485797683,0.2222222222222222,36.24220653522507,38.83242609221633,33.25792733635354,40.196865345567986,0.4304930153253944,0.5172413793103449,0.040158982985585706,0.0760589854820841,0.6927274484841903,0.9702456258479334,0.6201435626641324,1.0,9.564102564102564,10.0,71.31346731875176,73.79310344827586
scene-0067,"Exit construction, ped on crosswalk, construction workers, parking lot",1533153439947637.2,1533153449697386,62.625,77,62.025,76,48.9,64,0.7815074789944365,0.9,9.675,13,29.5,40,22.85,34,0.6,1,60.575,72.0,10.0,10.0,3.554622742279011,5.352941176470588,10.0,10.0,0.2746277593079244,0.4339622641509434,0.06960376048421034,0.14285714285714285,0.10703960860343154,0.23404255319148937,0.5487288716044337,0.6458333333333334,6.886942214418705,7.7,10.0,10.0,5.3625,10.0,0.2600000000000001,1.9000000000000004,0.13346809022901618,0.24528301886792453,0.10308415879408665,0.22641509433962265,26.27505894275825,28.471720701844507,21.889781438393044,28.031257121140243,0.2074274408707349,0.28125,0.03271509707358762,0.0637311656399595,0.6091227565433882,0.9508956351491131,0.54537639764789,0.9264705882352942,8.9,10.0,71.26705907763657,74.25770308123249
scene-0006,"Sitting construction worker, parked bicycle, ped walking along road, construction vehicle, worker sitting on back of van",1531884166685072.5,1531884176448538,51.5,65,51.225,65,35.625,46,0.7001979639485003,0.9090909090909091,9.2,12,5.325,7,36.7,47,0.275,1,42.2125,53.5,10.0,10.0,4.66133656848636,5.857142857142857,10.0,10.0,0.36682601352519784,0.5111111111111111,0.1040535702704759,0.24242424242424243,0.08823381378034993,0.15873015873015872,0.44088660242397637,0.6833333333333333,6.441976119034834,6.925,10.0,10.0,6.4875,15.0,0.5725,3.0,0.12274047688826237,0.28888888888888886,0.10861671285308379,0.2631578947368421,24.127310692062544,27.68664377975103,21.726794804963614,26.235800021483485,0.14681060852435476,0.265625,0.02696261490516305,0.06714304409557757,0.5607932934516107,1.0,0.4394258856930602,1.11864406779661,8.025,10.0,70.81105510459179,76.59863945578232
scene-0061,"Parked truck, construction, intersection, turn left, following a van",1532402937197792.0,1532402946797517,120.48717948717949,156,119.58974358974359,155,59.23076923076923,83,0.4966542251234985,0.7662337662337663,38.97435897435897,46,15.41025641025641,19,65.2051282051282,91,0.8974358974358975,1,126.41025641025641,156.0,10.0,10.0,4.181725363524018,5.144,10.0,10.0,0.3211980246575962,0.424,0.09529108374785711,0.1360544217687075,0.10090251023768539,0.1864406779661017,0.4826083813568613,0.5974025974025974,8.287387678775366,8.823008849557523,10.0,10.0,2.08974358974359,3.0,0.05128205128205128,1.0,0.27415286433787056,0.416,0.2648733190281112,0.392,32.367805818750476,37.518561794361844,30.91437579092386,39.03963080548816,0.33346673440796104,0.4745762711864407,0.011147889321640785,0.027398832307457786,0.5582190139758537,1.0,0.1642120878356934,0.424,6.897435897435898,10.0,70.7582300393871,76.76571428571428
scene-0049,"Construction, barriers behind net, parked trucks, excavators, turn left",1532402185685218.0,1532402195446144,37.82051282051282,55,37.82051282051282,55,28.487179487179485,40,0.743315421668155,0.9545454545454546,4.948717948717949,7,8.538461538461538,12,24.333333333333332,43,0.0,0,30.602564102564102,38.5,9.871794871794872,10.0,5.658941325121644,8.235294117647058,10.0,10.0,0.41938482791355025,0.7647058823529411,0.13944893178898907,0.27906976744186046,0.16298350782107277,0.375,0.2781827324763879,0.4827586206896552,6.57955633337524,8.470588235294118,10.0,10.0,6.5256410256410255,13.0,0.7538461538461539,3.0,0.11485598900994969,0.4117647058823529,0.09771416486760838,0.3611111111111111,26.314113021797482,43.01563958696031,21.572523404810664,43.563508539345364,0.19867239434031767,0.6666666666666666,0.01766056846947993,0.0522024846260217,0.39795988714188857,0.6540805481176435,0.3183454056337223,0.9444444444444444,6.9743589743589745,10.0,70.57570987183493,77.22222222222223
