category_group,distance_band_m,object_count,lidar_mean,lidar_median,lidar_p10,zero_point_share
other,0-20,72,10.819444444444445,8.0,1.1000000000000005,0.041666666666666664
other,20-40,19,4.7894736842105265,5.0,0.0,0.21052631578947367
other,40-60,4,1.5,1.0,1.0,0.0
static,0-20,1441,37.28036086051353,14.0,1.0,0.07286606523247745
static,20-40,1276,4.869905956112853,2.0,0.0,0.31426332288401254
static,40-60,847,1.2207792207792207,0.0,0.0,0.5608028335301063
static,60+,191,0.29842931937172773,0.0,0.0,0.8272251308900523
vehicle,0-20,2112,424.8816287878788,143.0,13.0,0.052083333333333336
vehicle,20-40,3622,18.062396466040862,7.0,0.0,0.169243511871894
vehicle,40-60,1836,3.2799564270152506,1.0,0.0,0.39705882352941174
vehicle,60+,1364,1.2587976539589443,0.0,0.0,0.6099706744868035
vru,0-20,2074,23.08678881388621,14.0,3.0,0.03953712632594021
vru,20-40,2446,3.251430907604252,3.0,0.0,0.1439084219133279
vru,40-60,925,1.145945945945946,1.0,0.0,0.3091891891891892
vru,60+,309,0.6634304207119741,1.0,0.0,0.41423948220064727
