family,bin,count,share_pct
lidar_points_team,0-4,9920,53.51170568561873
lidar_points_team,5-19,4277,23.071528751753156
lidar_points_team,50+,2329,12.563383320746574
lidar_points_team,20-49,2012,10.85338224188154
official_eval_point_filter,kept,15072,81.30326896105298
official_eval_point_filter,filtered_zero_lidar_plus_radar,3466,18.69673103894703
visibility_token_official,4,9475,51.11123098500378
visibility_token_official,1,5480,29.56090193116841
visibility_token_official,3,1947,10.50275110583666
visibility_token_official,2,1636,8.825115977991153
truncation_team,<=0.05,17663,95.2799654763189
truncation_team,0.05-0.30,500,2.6971625849606213
truncation_team,0.30-0.50,195,1.0518934081346423
truncation_team,>0.50,180,0.9709785305858237
truncation_kitti_candidate,<=0.15,17860,96.3426475347934
truncation_kitti_candidate,0.15-0.30,303,1.6344805264861366
truncation_kitti_candidate,0.30-0.50,195,1.0518934081346423
truncation_kitti_candidate,>0.50,180,0.9709785305858237
